 Time in recording [s],#192_F_Querlnk_hl_mR [kN]
2.47,5.11045
2.472,5.08643
2.474,5.04303
2.476,4.98801
2.478,4.93222
2.48,4.88573
2.482,4.85861
2.484,4.85706
2.486,4.88573
2.488,4.9423
2.49,5.02134
2.492,5.11665
2.494,5.21506
2.496,5.3065
2.498,5.37856
2.5,5.42118
2.502,5.42893
2.504,5.39716
2.506,5.32742
2.508,5.22591
2.51,5.0996
2.512,4.96089
2.514,4.82219
2.516,4.6951
2.518,4.58972
2.52,4.513
2.522,4.46728
2.524,4.45024
2.526,4.45721
2.528,4.47891
2.53,4.50448
2.532,4.52463
2.534,4.5316
2.536,4.52153
2.538,4.4944
2.54,4.45566
2.542,4.41304
2.544,4.37662
2.546,4.35725
2.548,4.36112
2.55,4.39444
2.552,4.45489
2.554,4.53702
2.556,4.63001
2.558,4.723
2.56,4.80281
2.562,4.86016
2.564,4.88728
2.566,4.88495
2.568,4.85706
2.57,4.81366
2.572,4.76562
2.574,4.7261
2.576,4.7044
2.578,4.70595
2.58,4.73307
2.582,4.78034
2.584,4.84001
2.586,4.90123
2.588,4.95237
2.59,4.98646
2.592,4.99886
2.594,4.99111
2.596,4.96942
2.598,4.94462
2.6,4.92757
2.602,4.92835
2.604,4.95624
2.606,5.01204
2.608,5.09263
2.61,5.19104
2.612,5.29255
2.614,5.38244
2.616,5.4483
2.618,5.47775
2.62,5.46458
2.622,5.40801
2.624,5.3127
2.626,5.18794
2.628,5.04613
2.63,4.90045
2.632,4.76252
2.634,4.64164
2.636,4.544
2.638,4.47116
2.64,4.42234
2.642,4.39289
2.644,4.3774
2.646,4.36965
2.648,4.36345
2.65,4.35492
2.652,4.33943
2.654,4.3154
2.656,4.28131
2.658,4.23714
2.66,4.18522
2.662,4.1302
2.664,4.07596
2.666,4.03102
2.668,4.00389
2.67,4.00312
2.672,4.03644
2.674,4.11083
2.676,4.22707
2.678,4.38282
2.68,4.5688
2.682,4.77337
2.684,4.97794
2.686,5.16547
2.688,5.31812
2.69,5.42196
2.692,5.46845
2.694,5.45838
2.696,5.39794
2.698,5.30107
2.7,5.18871
2.702,5.08023
2.704,4.99731
2.706,4.95624
2.708,4.96709
2.71,5.03296
2.712,5.14842
2.714,5.30185
2.716,5.4762
2.718,5.65055
2.72,5.80553
2.722,5.92332
2.724,5.98996
2.726,5.99771
2.728,5.94346
2.73,5.83033
2.732,5.66682
2.734,5.46613
2.736,5.24296
2.738,5.01514
2.74,4.79894
2.742,4.61064
2.744,4.46263
2.746,4.36422
2.748,4.3185
2.75,4.32238
2.752,4.3681
2.754,4.44016
2.756,4.52153
2.758,4.59282
2.76,4.63544
2.762,4.63621
2.764,4.58662
2.766,4.48743
2.768,4.34872
2.77,4.18677
2.772,4.02172
2.774,3.87681
2.776,3.77065
2.778,3.71718
2.78,3.72183
2.782,3.78072
2.784,3.88069
2.786,4.00544
2.788,4.13408
2.79,4.25031
2.792,4.34175
2.794,4.40607
2.796,4.44869
2.798,4.48278
2.8,4.5254
2.802,4.59204
2.804,4.69433
2.806,4.83381
2.808,5.00351
2.81,5.18406
2.812,5.34989
2.814,5.47233
2.816,5.52502
2.818,5.49092
2.82,5.36539
2.822,5.16082
2.824,4.902
2.826,4.62459
2.828,4.3712
2.83,4.1798
2.832,4.08216
2.834,4.09301
2.836,4.21312
2.838,4.42156
2.84,4.68813
2.842,4.97019
2.844,5.22513
2.846,5.41731
2.848,5.51959
2.85,5.52269
2.852,5.42893
2.854,5.2569
2.856,5.03296
2.858,4.78577
2.86,4.5409
2.862,4.31773
2.864,4.12478
2.866,3.96205
2.868,3.82102
2.87,3.68851
2.872,3.55213
2.874,3.4049
2.876,3.2445
2.878,3.07944
2.88,2.92214
2.882,2.78963
2.884,2.69897
2.886,2.66332
2.888,2.68734
2.89,2.76871
2.892,2.89657
2.894,3.05387
2.896,3.22125
2.898,3.38165
2.9,3.52346
2.902,3.64124
2.904,3.73888
2.906,3.82722
2.908,3.91943
2.91,4.03102
2.912,4.17205
2.914,4.3464
2.916,4.55097
2.918,4.77492
2.92,4.99964
2.922,5.20576
2.924,5.37624
2.926,5.49712
2.928,5.56299
2.93,5.57849
2.932,5.55291
2.934,5.50255
2.936,5.44675
2.938,5.40026
2.94,5.37546
2.942,5.37546
2.944,5.39794
2.946,5.43281
2.948,5.4669
2.95,5.48472
2.952,5.47465
2.954,5.42816
2.956,5.34292
2.958,5.22358
2.96,5.08023
2.962,4.92447
2.964,4.76872
2.966,4.62304
2.968,4.4944
2.97,4.38437
2.972,4.29061
2.974,4.20692
2.976,4.12788
2.978,4.04496
2.98,3.95508
2.982,3.85666
2.984,3.75128
2.986,3.64202
2.988,3.53431
2.99,3.43357
2.992,3.34058
2.994,3.25767
2.996,3.18173
2.998,3.10811
3,3.03217
3.002,2.94693
3.004,2.8493
3.006,2.73771
3.008,2.61295
3.01,2.4789
3.012,2.34174
3.014,2.20613
3.016,2.07982
3.018,1.96746
3.02,1.87293
3.022,1.79699
3.024,1.73964
3.026,1.7009
3.028,1.6792
3.03,1.673
3.032,1.68153
3.034,1.70555
3.036,1.74507
3.038,1.80164
3.04,1.8737
3.042,1.96127
3.044,2.062
3.046,2.17436
3.048,2.29525
3.05,2.42155
3.052,2.55174
3.054,2.68424
3.056,2.81908
3.058,2.95623
3.06,3.09804
3.062,3.24217
3.064,3.3894
3.066,3.53586
